date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:41	31301/31301	---MCZ	200	added ('OK')	text/css	etag:W/%226c31862a11ae3ff61ad4f8e83d33ad43%22	https://cdn.maptiler.com/mapbox-gl-js/v0.53.0/mapbox-gl.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/cdn.maptiler.com/mapbox-gl-js/v0.53.0/mapbox-gl8217.css	(from https://ap-havana.agentimage.com/)
18:28:41	40773/40773	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-d22c%22	https://ap-havana.agentimage.com/wp-content/plugins/AIOS_Listings/lib/html/autoload/listing-templates/bordeaux-tabled/css/style.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/AIOS_Listings/lib/html/autoload/listing-templates/bordeaux-tabled/css/style8217.css	(from https://ap-havana.agentimage.com/)
18:28:42	14840/14840	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-5269%22	https://ap-havana.agentimage.com/wp-content/themes/aios-starter-theme/style.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/aios-starter-theme/style8217.css	(from https://ap-havana.agentimage.com/)
18:28:42	40887/40887	---MCZ	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202022%2022:28:44%20GMT	https://ap-havana.agentimage.com/wp-content/themes/agentpro-havana/process-style.php?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/agentpro-havana/process-style8217.css	(from https://ap-havana.agentimage.com/)
18:28:42	4144/4144	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-16b9%22	https://ap-havana.agentimage.com/wp-content/themes/agentpro-havana/style-media-queries.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/agentpro-havana/style-media-queries8217.css	(from https://ap-havana.agentimage.com/)
18:28:43	0/0	---M--	200	added ('OK')	text/css	etag:%2263031c91-0%22	https://ap-havana.agentimage.com/wp-content/themes/agentpro-havana/install/virtual-page/css/virtual-page.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/agentpro-havana/install/virtual-page/css/virtual-page8217.css	(from https://ap-havana.agentimage.com/)
18:28:43	1466/1466	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-5ba%22	https://ap-havana.agentimage.com/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.15	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/add-to-any/addtoany.min9be6.css	(from https://ap-havana.agentimage.com/)
18:28:43	30021/30021	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-7545%22	https://ap-havana.agentimage.com/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/jquery-ui.min.css?ver=1.11.4	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/jquery-ui.mine899.css	(from https://ap-havana.agentimage.com/)
18:28:44	5649/5649	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-1cf9%22	https://ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/dark/style.css?ver=3.2.0	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/dark/style55a0.css	(from https://ap-havana.agentimage.com/)
18:28:44	3673/3673	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-12e1%22	https://ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/default/style.css?ver=3.2.0	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/default/style55a0.css	(from https://ap-havana.agentimage.com/)
18:28:44	5404/5404	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-1c55%22	https://ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/standard/style.css?ver=3.2.0	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/standard/style55a0.css	(from https://ap-havana.agentimage.com/)
18:28:45	4196/4196	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-1635%22	https://ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/thumbnails/style.css?ver=3.2.0	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/cyclone-slider/templates/thumbnails/style55a0.css	(from https://ap-havana.agentimage.com/)
18:28:45	6322/6322	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-1f68%22	https://ap-havana.agentimage.com/wp-content/themes/agentpro-havana/cycloneslider/cyclone-slider2-responsive/style.css?ver=3.2.0	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/agentpro-havana/cycloneslider/cyclone-slider2-responsive/style55a0.css	(from https://ap-havana.agentimage.com/)
